lat	lng	mag	time
35.6928333	-117.5831667	0.99	1668591639550
60.0444	-152.6269	1.1	1668591269835
-5.3468	102.3553	5.1	1668590564754
42.2191667	-111.0945	2.3	1668590489040
38.8313332	-122.819664	1.6	1668590371990
42.2151667	-111.0913333	2.81	1668590302180
36.7646	-116.2227	0	1668589999434
19.2608337402344	-155.380004882812	1.82000005	1668589843770
58.2546666666667	-155.0935	0.08	1668589467550
19.4921666666667	-155.659333333333	2.43	1668588944750
33.4915	-116.4391667	0.99	1668588362310
33491	-116.4473333	0.64	1668588361620
37.1656667	-121.5365	0.56	1668587692500
62.2768	-151.7692	1.6	1668587620489
36.7073333	-121.3586667	1.02	1668587523820
